i	S	V
42643	1.0670588285741145e-6	0
42883	1.0730596735533318e-6	0
43123	1.0790584309810987e-6	0
43203	1.0810593927050217e-6	0
43363	1.0850586425139994e-6	0
43603	1.091059600042835e-6	0
43763	1.095059683498564e-6	0
43843	1.0970590416494126e-6	0
44003	1.1010595480121112e-6	0
44163	1.1050596119920178e-6	0
44243	1.1070596700566855e-6	0
44363	1.1100590179221587e-6	0
44603	1.1160598401992524e-6	0
44803	1.1210594742561092e-6	0
45043	1.1270598228517923e-6	0
45163	1.1300593146819128e-6	0
45283	1.1330584366085644e-6	0
45403	1.1360592051850517e-6	0
45523	1.139059148960705e-6	0
45603	1.1410595131353643e-6	0
45723	1.1440588067228482e-6	0
45923	1.1490596417704825e-6	0
46123	1.1540596307221117e-6	0
46243	1.157059237525365e-6	0
46363	1.1600588062035858e-6	0
46443	1.1620595100280566e-6	0
46603	1.1660590915698582e-6	0
46803	1.1710589848926005e-6	0
46963	1.1750598875012483e-6	0
47043	1.1770592958492377e-6	0
47123	1.1790596602912282e-6	0
47203	1.1810591260627882e-6	0
47723	1.1940589665159262e-6	0
47963	1.2000591589191206e-6	0
48483	1.2130591497834903e-6	0
48723	1.2190599346961646e-6	0
48963	1.2250589868521084e-6	0
49043	1.227059865133201e-6	0
49203	1.2310584406714443e-6	0
49443	1.2370596367242107e-6	0
49603	1.2410585673794504e-6	0
49683	1.2430593683739341e-6	0
49843	1.2470592445843473e-6	0
50003	1.2510590441978197e-6	0
50083	1.2530591114185356e-6	0
50203	1.2560590676719038e-6	0
50443	1.2620587395970605e-6	0
50643	1.267059088618826e-6	0
50883	1.2730590084255312e-6	0
51003	1.2760592437224782e-6	0
51123	1.2790587003340205e-6	0
51243	1.2820589741595478e-6	0
51363	1.2850591393123814e-6	0
51443	1.2870595163284548e-6	0
51563	1.2900587852847698e-6	0
51763	1.29505949714476e-6	0
51963	1.3000594889881756e-6	0
52083	1.3030595242632521e-6	0
52203	1.3060593071114202e-6	0
52283	1.3080591763640304e-6	0
52443	1.3120595714548966e-6	0
52643	1.3170597637154622e-6	0
52803	1.3210591142604047e-6	0
52883	1.3230591431116686e-6	0
52963	1.3250584085143198e-6	0
53043	1.3270583561473595e-6	0
53563	1.340059349790022e-6	0
53803	1.3460594807302933e-6	0
54043	1.3520590045715673e-6	0
54123	1.3540592122281627e-6	0
54283	1.3580594171240243e-6	0
54523	1.3640591653365651e-6	0
54683	1.368059806808012e-6	0
54763	1.370058762088125e-6	0
54923	1.374059195547531e-6	0
55083	1.37805861117446e-6	0
55163	1.3800594307045967e-6	0
55283	1.3830585086622588e-6	0
55523	1.389059649366106e-6	0
55723	1.394059454579728e-6	0
55963	1.4000593968441435e-6	0
56083	1.4030597004181085e-6	0
56203	1.406059889498267e-6	0
56323	1.4090587821201861e-6	0
56443	1.4120601094303535e-6	0
56523	1.4140595753506712e-6	0
56643	1.4170591698798118e-6	0
56843	1.4220595880509374e-6	0
57043	1.4270592619973603e-6	0
57163	1.430059112345539e-6	0
57283	1.4330598490451456e-6	0
57363	1.4350588086979735e-6	0
57523	1.43905943418577e-6	0
57723	1.4440588766915424e-6	0
57883	1.4480595463858849e-6	0
57963	1.4500592956090226e-6	0
58043	1.4520594628718912e-6	0
58123	1.4540599803838227e-6	0
58643	1.4670593114541287e-6	0
58883	1.473060299352867e-6	0
59123	1.4790597374243408e-6	0
59203	1.4810595839709885e-6	0
59363	1.485059410203195e-6	0
59603	1.4910586676342743e-6	0
59763	1.495058824398354e-6	0
59843	1.4970596207597842e-6	0
60003	1.5010595559762347e-6	0
60163	1.5050586472682282e-06	0
60243	1.5070590633789604e-6	0
60363	1.510059266536378e-6	0
60603	1.516059550118906e-6	0
60803	1.521058728494255e-6	0
61043	1.5270590838347028e-6	0
61163	1.5300583884778143e-6	0
61283	1.533059119500703e-6	0
61403	1.5360588452634369e-6	0
61523	1.53905915278842e-6	0
61603	1.541058603402264e-6	0
61723	1.5440590442132302e-6	0
61923	1.5490597119887674e-6	0
62123	1.554059749337666e-6	0
62243	1.5570594236025055e-6	0
62363	1.5600596245927653e-6	0
62443	1.5620595653944e-6	0
62603	1.5660598100958166e-6	0
62803	1.571059651268565e-6	0
62963	1.575059342342443e-6	0
63043	1.5770593535270486e-6	0
63123	1.5790587566472608e-6	0
63203	1.5810598939892685e-6	0
63723	1.5940599937260872e-6	0
63963	1.6000598171914216e-6	0
64483	1.613059307873704e-6	0
64723	1.6190590704215622e-6	0
64963	1.6250597900690365e-6	0
65043	1.627059118527556e-6	0
65203	1.6310592942042748e-6	0
65443	1.6370596873001291e-6	0
65603	1.6410586466383483e-6	0
65683	1.6430588724219097e-6	0
