S	V	tags
6.175e-9	-1	NA
6.2e-9	-1	NA
6.225e-9	-1	NA
6.2500000000000005e-9	-1	NA
6.275e-9	-1	NA
6.3e-9	-1	NA
6.325e-9	-1	NA
6.350000000000001e-9	-1	NA
6.375e-9	-1	NA
6.4e-9	-1	NA
6.4250000000000005e-9	-1	NA
6.45e-9	-1	NA
6.475e-9	-1	NA
6.5e-9	-1	NA
6.5250000000000005e-9	-1	NA
6.55e-9	-1	NA
6.575e-9	-1	NA
6.6e-9	-1	NA
6.625000000000001e-9	-1	NA
6.65e-9	-1	NA
6.675e-9	-1	NA
6.7000000000000004e-9	-1	NA
6.725e-9	-1	NA
6.75e-9	-1	NA
6.775e-9	-1	NA
6.8000000000000005e-9	-1	NA
6.825e-9	-1	NA
6.85e-9	-1	NA
6.875e-9	-1	NA
6.9000000000000006e-9	-1	NA
6.925e-9	-1	NA
6.95e-9	-1	NA
6.9750000000000004e-9	-1	NA
7.000000000000001e-9	-1	NA
7.025e-9	-1	NA
7.05e-9	-1	7T - 6T
7.0750000000000005e-9	1	NA
7.1e-9	1	NA
7.125e-9	1	NA
7.15e-9	1	NA
7.1750000000000006e-9	1	NA
7.2e-9	1	NA
7.225e-9	1	NA
7.25e-9	1	NA
7.275000000000001e-9	1	NA
7.3e-9	1	NA
7.325e-9	1	NA
7.3500000000000005e-9	1	NA
7.375e-9	1	NA
7.4e-9	1	NA
7.425e-9	1	NA
7.4500000000000005e-9	1	NA
7.475e-9	1	NA
7.500000000000001e-9	1	NA
7.525e-9	1	NA
7.55e-9	1	NA
7.575e-9	1	NA
7.6e-9	1	NA
7.625e-9	1	NA
7.65e-9	1	NA
7.675000000000001e-9	1	NA
7.7e-9	1	NA
7.725e-9	1	NA
7.75e-9	1	NA
7.775e-9	1	NA
7.8e-9	1	NA
7.825e-9	1	NA
7.85e-9	1	NA
7.875000000000001e-9	1	NA
7.9e-9	1	NA
7.925e-9	1	NA
7.95e-9	1	NA
7.975e-9	1	NA
8e-9	1	NA
8.025e-9	1	NA
8.050000000000001e-9	1	NA
8.075e-9	1	NA
8.1e-9	1	NA
8.125e-9	1	NA
8.15e-9	1	NA
8.175e-9	1	NA
8.2e-9	1	NA
8.225000000000001e-9	1	NA
8.250000000000001e-9	1	NA
8.275e-9	1	NA
8.3e-9	1	NA
8.325e-9	1	NA
8.35e-9	1	NA
8.375e-9	1	NA
8.4e-9	1	NA
8.425000000000001e-9	1	NA
8.45e-9	1	NA
8.475e-9	1	NA
