S	pS
7.05940094692381e-9	0
1.305940094692381e-8	0.03959499813086857
1.405940094692381e-8	-0.15182631208795708
1.9059400946923808e-8	-0.18439754025525026
2.105940094692381e-8	-0.4734737778091819
2.505940094692381e-8	0.23370451507608872
2.605940094692381e-8	-0.7423267289717338
2.705940094692381e-8	-0.007005407434096891
2.805940094692381e-8	-0.08268455878282442
3.105940094692381e-8	-0.18500032865150795
3.505940094692381e-8	0.160197244768695
3.7059400946923804e-8	-0.6736392143594062
3.805940094692381e-8	0.020701966782360505
4.105940094692381e-8	-0.5371921973235861
4.205940094692381e-8	-0.31903659751344166
4.3059400946923805e-8	-0.7582267858223083
4.505940094692381e-8	-0.028578808836272056
4.7059400946923814e-8	-0.23546171027329044
5.0059400946923814e-8	0.20465405095481184
5.105940094692381e-8	0.3142212438221327
5.2059400946923806e-8	-9.962020270060136e-4
5.3059400946923815e-8	-0.037376078990854586
5.405940094692381e-8	0.6190639556284514
5.6059400946923815e-8	-0.4556285584698538
6.105940094692381e-8	1.1126191672775845
6.205940094692382e-8	0.3509396233751066
6.305940094692381e-8	0.04307988882279124
6.705940094692381e-8	-0.2936978145980723
7.005940094692381e-8	-0.017403902706542372
7.305940094692381e-8	-0.7173674630428958
7.405940094692382e-8	0.07180769778882926
7.605940094692381e-8	0.2560979276120454
7.705940094692382e-8	-0.33032394188031916
7.905940094692381e-8	0.1449557130245276
8.105940094692381e-8	-0.38688299151811767
8.205940094692381e-8	-0.2832880173617029
8.405940094692381e-8	-0.21828394726495318
8.505940094692381e-8	0.4573782446571124
8.605940094692382e-8	-0.7099753180766739
8.705940094692381e-8	0.23044072353819453
8.905940094692382e-8	-0.17608292170966885
9.005940094692382e-8	0.26815734558745713
9.405940094692381e-8	-0.0705198703516617
9.505940094692381e-8	-0.7249302441198311
9.705940094692381e-8	-0.122021599928293
1.0005940094692381e-7	0.30548778543726207
1.0205940094692382e-7	-0.03520687547029784
1.0305940094692381e-7	0.09266594226907218
1.0405940094692381e-7	-0.18643750988116672
1.0605940094692381e-7	-0.6360723959763914
1.0705940094692381e-7	-0.6084654389088032
1.0805940094692382e-7	0.14512632594771402
1.1105940094692382e-7	-0.495369592591629
1.1205940094692381e-7	-0.2534064034744956
