i	S	V
22943	5.740592553233207e-7	0
23103	5.780597377176996e-7	0
23183	5.800591147035932e-7	0
23303	5.830592422182714e-7	0
23543	5.890594843840018e-7	0
23743	5.940594826488994e-7	0
23983	6.000588331656639e-7	0
24103	6.030593160279429e-7	0
24223	6.060591894311231e-7	0
24343	6.090599038426676e-7	0
24463	6.120583074228276e-7	0
24543	6.1405911710824e-7	0
24663	6.170585196732172e-7	0
24863	6.220597244607141e-7	0
25063	6.270590411406144e-7	0
25183	6.300600318783212e-7	0
25303	6.330590933387164e-7	0
25383	6.350593721546933e-7	0
25543	6.390587130158956e-7	0
25743	6.440594746095135e-7	0
25903	6.480596024379592e-7	0
25983	6.500596110701306e-7	0
26063	6.520593350568353e-7	0
26143	6.540587587705746e-7	0
26663	6.670594362165237e-7	0
26903	6.730592096513424e-7	0
27143	6.790593565654206e-7	0
27223	6.810600232299158e-7	0
27383	6.850586786438257e-7	0
27623	6.910580303332536e-7	0
27783	6.950594400544561e-7	0
27863	6.970596179844966e-7	0
28023	7.010583778289964e-7	0
28183	7.050592775381989e-7	0
28263	7.070591784870313e-7	0
28383	7.100596791497932e-7	0
28623	7.160593397990255e-7	0
28823	7.21059519308541e-7	0
29063	7.270593057828129e-7	0
29183	7.300588040274563e-7	0
29303	7.330595940645242e-7	0
29423	7.360587774790896e-7	0
29543	7.390597581298454e-7	0
29623	7.41059941651948e-7	0
29743	7.440592617961357e-7	0
29943	7.490593651172853e-7	0
30143	7.540592428497686e-7	0
30263	7.57060461690113e-7	0
30383	7.600596625852485e-7	0
30463	7.620590055888855e-7	0
30623	7.66059618001842e-7	0
30823	7.710594130114605e-7	0
30983	7.750588479414197e-7	0
31063	7.770602642887935e-7	0
31143	7.790592654389879e-7	0
31223	7.810590947498191e-7	0
31743	7.940594552470962e-7	0
31983	8.000593701334884e-7	0
32503	8.130601068670445e-7	0
32743	8.190587008604954e-7	0
32983	8.250587780750987e-7	0
33063	8.270589724859155e-7	0
33223	8.310597163225565e-7	0
33463	8.370586613487479e-7	0
33623	8.410591939318211e-7	0
33703	8.43059341256841e-7	0
33863	8.470590984927537e-7	0
34023	8.510594039574027e-7	0
34103	8.530589319760483e-7	0
34223	8.560585127520364e-7	0
34463	8.620590082901784e-7	0
34663	8.670595015195715e-7	0
34903	8.730594064698788e-7	0
35023	8.76058862221122e-7	0
35143	8.790597072198583e-7	0
35263	8.820591299480843e-7	0
35383	8.850588491166181e-7	0
35463	8.870594858377054e-7	0
35583	8.900587544795936e-7	0
35783	8.95058769349688e-7	0
35983	9.000590664560401e-7	0
36103	9.030598574438817e-7	0
36223	9.060599308224405e-7	0
36303	9.080597908927702e-7	0
36463	9.120589745198909e-7	0
36663	9.17058995897783e-7	0
36823	9.210587169385534e-7	0
36903	9.230592567441541e-7	0
36983	9.250593639845552e-7	0
37063	9.270590312719285e-7	0
37583	9.400589253764728e-7	0
37823	9.460592003947267e-7	0
38063	9.520590881043669e-7	0
38143	9.540592554458405e-7	0
38303	9.580596932505657e-7	0
38543	9.640592539700138e-7	0
38703	9.680582792763933e-7	0
38783	9.70059846395161e-7	0
38943	9.740593743363317e-7	0
39103	9.78059664658492e-7	0
39183	9.800594574766097e-7	0
39303	9.830591348737142e-7	0
39543	9.890594256621581e-7	0
39743	9.940593289358208e-7	0
39983	1.0000589638175256e-6	0
40103	1.003058947663398e-6	0
40223	1.0060592095262988e-6	0
40343	1.0090587077177239e-6	0
40463	1.0120599974144664e-6	0
40543	1.0140587794879188e-6	0
40663	1.0170593986258045e-6	0
40863	1.0220590048533335e-6	0
41063	1.0270591157061675e-6	0
41183	1.0300596173775535e-6	0
41303	1.0330595833800683e-6	0
41383	1.0350598780981745e-6	0
41543	1.039059123512479e-6	0
41743	1.0440595370338093e-6	0
41903	1.0480592467871642e-6	0
41983	1.0500591993098737e-6	0
42063	1.0520588489913583e-6	0
42143	1.0540589993225368e-6	0
42663	1.0670588285741145e-6	0
42903	1.0730596735533318e-6	0
43143	1.0790584309810987e-6	0
43223	1.0810593927050217e-6	0
43383	1.0850586425139994e-6	0
43623	1.091059600042835e-6	0
43783	1.095059683498564e-6	0
43863	1.0970590416494126e-6	0
44023	1.1010595480121112e-6	0
44183	1.1050596119920178e-6	0
44263	1.1070596700566855e-6	0
44383	1.1100590179221587e-6	0
44623	1.1160598401992524e-6	0
44823	1.1210594742561092e-6	0
45063	1.1270598228517923e-6	0
45183	1.1300593146819128e-6	0
45303	1.1330584366085644e-6	0
45423	1.1360592051850517e-6	0
45543	1.139059148960705e-6	0
45623	1.1410595131353643e-6	0
45743	1.1440588067228482e-6	0
45943	1.1490596417704825e-6	0
46143	1.1540596307221117e-6	0
46263	1.157059237525365e-6	0
46383	1.1600588062035858e-6	0
46463	1.1620595100280566e-6	0
46623	1.1660590915698582e-6	0
46823	1.1710589848926005e-6	0
46983	1.1750598875012483e-6	0
47063	1.1770592958492377e-6	0
47143	1.1790596602912282e-6	0
47223	1.1810591260627882e-6	0
47743	1.1940589665159262e-6	0
47983	1.2000591589191206e-6	0
48503	1.2130591497834903e-6	0
48743	1.2190599346961646e-6	0
48983	1.2250589868521084e-6	0
49063	1.227059865133201e-6	0
49223	1.2310584406714443e-6	0
49463	1.2370596367242107e-6	0
49623	1.2410585673794504e-6	0
49703	1.2430593683739341e-6	0
49863	1.2470592445843473e-6	0
50023	1.2510590441978197e-6	0
50103	1.2530591114185356e-6	0
50223	1.2560590676719038e-6	0
50463	1.2620587395970605e-6	0
50663	1.267059088618826e-6	0
50903	1.2730590084255312e-6	0
51023	1.2760592437224782e-6	0
51143	1.2790587003340205e-6	0
51263	1.2820589741595478e-6	0
51383	1.2850591393123814e-6	0
51463	1.2870595163284548e-6	0
51583	1.2900587852847698e-6	0
51783	1.29505949714476e-6	0
51983	1.3000594889881756e-6	0
52103	1.3030595242632521e-6	0
52223	1.3060593071114202e-6	0
52303	1.3080591763640304e-6	0
52463	1.3120595714548966e-6	0
52663	1.3170597637154622e-6	0
52823	1.3210591142604047e-6	0
52903	1.3230591431116686e-6	0
52983	1.3250584085143198e-6	0
53063	1.3270583561473595e-6	0
53583	1.340059349790022e-6	0
53823	1.3460594807302933e-6	0
54063	1.3520590045715673e-6	0
54143	1.3540592122281627e-6	0
54303	1.3580594171240243e-6	0
54543	1.3640591653365651e-6	0
54703	1.368059806808012e-6	0
54783	1.370058762088125e-6	0
54943	1.374059195547531e-6	0
55103	1.37805861117446e-6	0
55183	1.3800594307045967e-6	0
55303	1.3830585086622588e-6	0
