i	S	V
11163	2.800591126204252e-7	0
11243	2.8205905835547754e-7	0
11523	2.890590507917679e-7	0
11643	2.92059448155861e-7	0
11803	2.9605879916116364e-7	0
11923	2.990601181803753e-7	0
12123	3.040590237753284e-7	0
12203	3.060596327885738e-7	0
12283	3.0805932195609367e-7	0
12563	3.1505914785932656e-7	0
12643	3.170590363997171e-7	0
12923	3.2405955425598355e-7	0
13083	3.280586263296329e-7	0
13203	3.310602739376558e-7	0
13363	3.3505969184389837e-7	0
13483	3.380594212487718e-7	0
13563	3.4005932927218233e-7	0
13683	3.4305915929549837e-7	0
13883	3.480591044060725e-7	0
14003	3.5105945739840635e-7	0
14203	3.560594833231529e-7	0
14283	3.5805928864135734e-7	0
14403	3.61059606289075e-7	0
14563	3.650587450591704e-7	0
14723	3.6905940103763346e-7	0
14883	3.730594329423411e-7	0
15003	3.760582548953298e-7	0
15083	3.780597045599921e-7	0
15163	3.8005911463994953e-7	0
15483	3.8805974121475526e-7	0
15763	3.950594500805811e-7	0
16243	4.070594834735197e-7	0
16523	4.1405860273955304e-7	0
16803	4.210591849939249e-7	0
17003	4.260596119669651e-7	0
17083	4.2805874021763317e-7	0
17363	4.350594001452319e-7	0
17483	4.3805921379321263e-7	0
17643	4.420598380305929e-7	0
17763	4.4505950826293385e-7	0
17963	4.500595846726391e-7	0
18043	4.520591014943498e-7	0
18123	4.540592592986297e-7	0
18403	4.6105912047579816e-7	0
18483	4.630594302084684e-7	0
18763	4.7005823963628944e-7	0
18923	4.740598384639424e-7	0
19043	4.770593865765404e-7	0
19203	4.810597336050701e-7	0
19323	4.840592823641523e-7	0
19403	4.860591163248735e-7	0
19523	4.89058714819705e-7	0
19723	4.940590845580817e-7	0
19843	4.970592586312027e-7	0
20043	5.020596020229638e-7	0
20123	5.040593465177668e-7	0
20243	5.070594716938229e-7	0
20403	5.110591766623793e-7	0
20563	5.15059559315192e-7	0
20723	5.190597865381109e-7	0
20843	5.220592006129084e-7	0
20923	5.240599068353415e-7	0
21003	5.260596193941394e-7	0
21323	5.34059083195861e-7	0
21603	5.410592282924011e-7	0
21883	5.480593263481519e-7	0
22083	5.530595890499816e-7	0
22163	5.550591983657946e-7	0
22443	5.620590530119775e-7	0
22563	5.65059645394796e-7	0
22723	5.690595138169373e-7	0
22843	5.720589778050261e-7	0
23043	5.77058818373286e-7	0
23123	5.79059605215938e-7	0
23203	5.810594999363559e-7	0
23483	5.880598856220284e-7	0
23563	5.90059962407018e-7	0
23843	5.970592894872259e-7	0
24003	6.010590434858386e-7	0
24123	6.040593784770053e-7	0
24283	6.080584786560922e-7	0
24403	6.110593777998513e-7	0
24483	6.130589533874819e-7	0
24603	6.160590432498795e-7	0
24803	6.210588101914442e-7	0
24923	6.240592969373203e-7	0
25123	6.29059704525551e-7	0
25203	6.310591896331497e-7	0
25323	6.34059496781378e-7	0
25483	6.380592694564934e-7	0
25643	6.420594122589579e-7	0
25803	6.460591562562139e-7	0
25923	6.490589229154747e-7	0
26003	6.510593488623367e-7	0
26083	6.530592477673042e-7	0
26403	6.61059464099668e-7	0
26683	6.680586733930825e-7	0
26963	6.750590182890379e-7	0
27163	6.80059078064005e-7	0
27243	6.820591524373272e-7	0
27523	6.890586999730156e-7	0
27643	6.920598987362687e-7	0
27803	6.960591227432783e-7	0
27923	6.990593239704513e-7	0
28123	7.040593622398212e-7	0
28203	7.060592617558925e-7	0
28283	7.080592989874452e-7	0
28563	7.150589782976277e-7	0
28643	7.170583861644691e-7	0
28923	7.240598501091853e-7	0
29083	7.280588994792226e-7	0
29203	7.3105932130407e-7	0
29363	7.350592271854044e-7	0
29483	7.380590057202199e-7	0
