i	S	V
35323	8.8405e-7	-1
35403	8.860500000000001e-7	-1
35523	8.8905e-7	-1
35723	8.9405e-7	-1
35843	8.970500000000001e-7	-1
36043	9.0205e-7	-1
36123	9.0405e-7	-1
36243	9.070500000000001e-7	-1
36403	9.1105e-7	-1
36563	9.1505e-7	-1
36723	9.1905e-7	-1
36843	9.2205e-7	-1
36923	9.240500000000001e-7	-1
37003	9.2605e-7	-1
37323	9.340500000000001e-7	-1
37603	9.410500000000001e-7	-1
37883	9.480500000000001e-7	-1
38083	9.5305e-7	-1
38163	9.5505e-7	-1
38443	9.6205e-7	-1
38563	9.6505e-7	-1
38723	9.6905e-7	-1
38843	9.7205e-7	-1
39043	9.7705e-7	-1
39123	9.7905e-7	-1
39203	9.810500000000001e-7	-1
39483	9.8805e-7	-1
39563	9.9005e-7	-1
39843	9.9705e-7	-1
40003	1.0010500000000001e-6	-1
40123	1.00405e-6	-1
40283	1.00805e-6	-1
40403	1.01105e-6	-1
40483	1.01305e-6	-1
40603	1.01605e-6	-1
40803	1.02105e-6	-1
40923	1.02405e-6	-1
41123	1.0290500000000001e-6	-1
41203	1.03105e-6	-1
41323	1.03405e-6	-1
41483	1.03805e-6	-1
41643	1.04205e-6	-1
41803	1.0460500000000001e-6	-1
41923	1.04905e-6	-1
42003	1.05105e-6	-1
42083	1.05305e-6	-1
42403	1.06105e-6	-1
42683	1.06805e-6	-1
42963	1.07505e-6	-1
43163	1.08005e-6	-1
43243	1.08205e-6	-1
43523	1.08905e-6	-1
43643	1.09205e-6	-1
43803	1.09605e-6	-1
43923	1.09905e-6	-1
44123	1.10405e-6	-1
44203	1.10605e-6	-1
44283	1.1080500000000001e-6	-1
44563	1.11505e-6	-1
44643	1.11705e-6	-1
44923	1.12405e-6	-1
45083	1.12805e-6	-1
45203	1.13105e-6	-1
45363	1.13505e-6	-1
45483	1.13805e-6	-1
45563	1.14005e-6	-1
45683	1.14305e-6	-1
45883	1.14805e-6	-1
46003	1.15105e-6	-1
46203	1.1560500000000001e-6	-1
46283	1.15805e-6	-1
46403	1.16105e-6	-1
46563	1.16505e-6	-1
46723	1.16905e-6	-1
46883	1.1730500000000001e-6	-1
47003	1.17605e-6	-1
47083	1.17805e-6	-1
47163	1.18005e-6	-1
47483	1.18805e-6	-1
47763	1.19505e-6	-1
48243	1.20705e-6	-1
48523	1.21405e-6	-1
48803	1.22105e-6	-1
49003	1.22605e-6	-1
49083	1.22805e-6	-1
49363	1.2350500000000001e-6	-1
49483	1.23805e-6	-1
49643	1.24205e-6	-1
49763	1.24505e-6	-1
49963	1.25005e-6	-1
50043	1.2520500000000002e-6	-1
50123	1.25405e-6	-1
50403	1.26105e-6	-1
50483	1.2630500000000001e-6	-1
50763	1.27005e-6	-1
50923	1.2740500000000001e-6	-1
51043	1.2770500000000001e-6	-1
51203	1.28105e-6	-1
